mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.025420761108398436,0.0016672813555312128,0.007309246063232422,0.0007138369539529468,0.05,2,50,"{'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50}",0.71875,0.6015625,0.5826771653543307,0.6141732283464567,0.6484375,0.6331200787401574,0.04788832474758508,8
0.03464298248291016,0.0019286411636726274,0.006146383285522461,0.00017448288047978004,0.05,2,100,"{'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 100}",0.7421875,0.609375,0.6377952755905512,0.6771653543307087,0.6796875,0.6692421259842519,0.04486844804393044,6
0.028156518936157227,0.0001744102550257003,0.006009912490844727,9.984389400265415e-05,0.05,3,50,"{'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50}",0.7578125,0.6171875,0.5984251968503937,0.6692913385826772,0.671875,0.6629183070866141,0.05545523187547194,7
0.04082612991333008,0.0017915209609255154,0.006354713439941406,0.000177226625381017,0.05,3,100,"{'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 100}",0.75,0.640625,0.6220472440944882,0.7165354330708661,0.6640625,0.6786540354330708,0.047725666501144695,4
0.025485420227050783,0.002095611685438844,0.006690120697021485,0.0008519720188884652,0.1,2,50,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50}",0.75,0.6171875,0.6299212598425197,0.7007874015748031,0.6875,0.6770792322834646,0.04857777684491702,5
0.03595867156982422,0.003740253509447523,0.00677342414855957,0.0007694637966302496,0.1,2,100,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 100}",0.7578125,0.6484375,0.6692913385826772,0.7086614173228346,0.6953125,0.6959030511811024,0.037301652260216936,1
0.02840766906738281,0.0036195059077766102,0.0061585426330566405,0.00046586103050192307,0.1,3,50,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50}",0.7578125,0.6328125,0.6299212598425197,0.7244094488188977,0.6875,0.6864911417322834,0.0502137432735616,3
0.03960919380187988,0.00046768821953937367,0.006175994873046875,6.603325259829285e-05,0.1,3,100,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 100}",0.765625,0.640625,0.6377952755905512,0.7401574803149606,0.6875,0.6943405511811023,0.05159493271520629,2
